Candidat,Durées cumulées sur la période,En % sur la période,
BAYROU FRANCOIS (soutien d'E. Macron à partir du 22/02),,,
Candidat,00:00:00,0.00%,
Soutiens,00:00:00,0.00%,
Total Temps de parole,00:00:00,0.00%,
Antenne,00:00:06,3.06%,
Total Temps d'antenne,00:00:06,3.06%,
FILLON FRANCOIS,,,
Candidat,00:00:00,0.00%,
Soutiens,00:00:00,0.00%,
Total Temps de parole,00:00:00,0.00%,
Antenne,00:01:56,59.18%,
Total Temps d'antenne,00:01:56,59.18%,
HAMON BENOIT,,,
Candidat,00:00:00,0.00%,
Soutiens,00:00:00,0.00%,
Total Temps de parole,00:00:00,0.00%,
Antenne,00:00:06,3.06%,
Total Temps d'antenne,00:00:06,3.06%,
LE PEN MARINE,,,
Candidat,00:00:00,0.00%,
Soutiens,00:00:00,0.00%,
Total Temps de parole,00:00:00,0.00%,
Antenne,00:00:05,2.55%,
Total Temps d'antenne,00:00:05,2.55%,
MACRON EMMANUEL,,,
Candidat,00:00:00,0.00%,
Soutiens,00:00:00,0.00%,
Total Temps de parole,00:00:00,0.00%,
Antenne,00:00:29,14.80%,
Total Temps d'antenne,00:00:29,14.80%,
MELENCHON JEAN LUC,,,
Candidat,00:00:00,0.00%,
Soutiens,00:00:00,0.00%,
Total Temps de parole,00:00:00,0.00%,
Antenne,00:00:34,17.35%,
Total Temps d'antenne,00:00:34,17.35%,
Total candidats,,,
Candidat,00:00:00,0.00%,
Soutiens,00:00:00,0.00%,
Total Temps de parole,00:00:00,0.00%,
Antenne,00:03:16,100.00%,
Total Temps d'antenne,00:03:16,100.00%,
