Candidat;"Détail des temps";"Tranche (06:00-09:30)(durée)";"Tranche (06:00-09:30)(%)";"Tranche (09:30-18:00)(durée)";"Tranche (09:30-18:00)(%)";"Tranche (18:00-24:00)(durée)";"Tranche (10:00-24:00)(%)";"Tranche (00:00-06:00)(durée)";"Tranche (00:00-06:00)(%)";"Focus (19:30-21:00)(durée)";"Focus (19:30-21:00)(%)"
"ARTHAUD NATHALIE";Candidat;00:00:45;4.41%;00:00:00;-;00:00:44;4.24%;00:00:00;-;00:00:00;-
"ARTHAUD NATHALIE";Soutiens;00:00:49;0.96%;00:00:00;-;00:00:49;0.93%;00:00:00;-;00:00:00;-
"ARTHAUD NATHALIE";"Total temps de parole";00:01:34;1.53%;00:00:00;-;00:01:33;1.47%;00:00:00;-;00:00:00;-
"ARTHAUD NATHALIE";"Total temps d'antenne";00:01:56;1.22%;00:00:00;-;00:01:55;1.22%;00:00:00;-;00:00:00;-
"ASSELINEAU FRANCOIS";Candidat;00:00:37;3.62%;00:00:00;-;00:01:39;9.54%;00:00:00;-;00:00:00;-
"ASSELINEAU FRANCOIS";Soutiens;00:00:19;0.37%;00:00:00;-;00:00:19;0.36%;00:00:00;-;00:00:00;-
"ASSELINEAU FRANCOIS";"Total temps de parole";00:00:56;0.91%;00:00:00;-;00:01:58;1.87%;00:00:00;-;00:00:00;-
"ASSELINEAU FRANCOIS";"Total temps d'antenne";00:01:26;0.90%;00:00:00;-;00:03:15;2.07%;00:00:00;-;00:00:00;-
"CHEMINADE JACQUES";Candidat;00:00:53;5.19%;00:00:00;-;00:00:00;0.00%;00:00:00;-;00:00:00;-
"CHEMINADE JACQUES";Soutiens;00:00:00;0.00%;00:00:00;-;00:00:00;0.00%;00:00:00;-;00:00:00;-
"CHEMINADE JACQUES";"Total temps de parole";00:00:53;0.86%;00:00:00;-;00:00:00;0.00%;00:00:00;-;00:00:00;-
"CHEMINADE JACQUES";"Total temps d'antenne";00:01:21;0.85%;00:00:00;-;00:00:00;0.00%;00:00:00;-;00:00:00;-
"DUPONT AIGNAN NICOLAS";Candidat;00:03:19;19.49%;00:00:00;-;00:03:13;18.59%;00:00:00;-;00:00:00;-
"DUPONT AIGNAN NICOLAS";Soutiens;00:00:42;0.82%;00:00:00;-;00:00:42;0.80%;00:00:00;-;00:00:00;-
"DUPONT AIGNAN NICOLAS";"Total temps de parole";00:04:01;3.93%;00:00:00;-;00:03:55;3.72%;00:00:00;-;00:00:00;-
"DUPONT AIGNAN NICOLAS";"Total temps d'antenne";00:05:22;3.38%;00:00:00;-;00:05:16;3.36%;00:00:00;-;00:00:00;-
"FILLON FRANCOIS";Candidat;00:00:34;3.33%;00:00:00;-;00:00:34;3.28%;00:00:00;-;00:00:00;-
"FILLON FRANCOIS";Soutiens;00:19:43;23.12%;00:00:00;-;00:21:04;23.96%;00:00:00;-;00:00:00;-
"FILLON FRANCOIS";"Total temps de parole";00:20:17;19.83%;00:00:00;-;00:21:38;20.56%;00:00:00;-;00:00:00;-
"FILLON FRANCOIS";"Total temps d'antenne";00:30:41;19.34%;00:00:00;-;00:32:01;20.42%;00:00:00;-;00:00:00;-
"HAMON BENOIT";Candidat;00:01:15;7.35%;00:00:00;-;00:01:06;6.36%;00:00:00;-;00:00:00;-
"HAMON BENOIT";Soutiens;00:17:20;20.33%;00:00:00;-;00:16:32;18.81%;00:00:00;-;00:00:00;-
"HAMON BENOIT";"Total temps de parole";00:18:35;18.17%;00:00:00;-;00:17:38;16.76%;00:00:00;-;00:00:00;-
"HAMON BENOIT";"Total temps d'antenne";00:28:08;17.73%;00:00:00;-;00:23:33;15.02%;00:00:00;-;00:00:00;-
"LASSALLE JEAN";Candidat;00:01:07;6.56%;00:00:00;-;00:01:09;6.65%;00:00:00;-;00:00:00;-
"LASSALLE JEAN";Soutiens;00:00:00;0.00%;00:00:00;-;00:00:00;0.00%;00:00:00;-;00:00:00;-
"LASSALLE JEAN";"Total temps de parole";00:01:07;1.09%;00:00:00;-;00:01:09;1.09%;00:00:00;-;00:00:00;-
"LASSALLE JEAN";"Total temps d'antenne";00:01:30;0.95%;00:00:00;-;00:01:32;0.98%;00:00:00;-;00:00:00;-
"LE PEN MARINE";Candidat;00:01:26;8.42%;00:00:00;-;00:01:25;8.19%;00:00:00;-;00:00:00;-
"LE PEN MARINE";Soutiens;00:15:11;17.81%;00:00:00;-;00:16:20;18.58%;00:00:00;-;00:00:00;-
"LE PEN MARINE";"Total temps de parole";00:16:37;16.25%;00:00:00;-;00:17:45;16.87%;00:00:00;-;00:00:00;-
"LE PEN MARINE";"Total temps d'antenne";00:27:05;17.07%;00:00:00;-;00:27:37;17.61%;00:00:00;-;00:00:00;-
"MACRON EMMANUEL";Candidat;00:05:19;31.24%;00:00:00;-;00:05:28;31.60%;00:00:00;-;00:00:00;-
"MACRON EMMANUEL";Soutiens;00:10:54;12.78%;00:00:00;-;00:13:14;15.05%;00:00:00;-;00:00:00;-
"MACRON EMMANUEL";"Total temps de parole";00:16:13;15.85%;00:00:00;-;00:18:42;17.77%;00:00:00;-;00:00:00;-
"MACRON EMMANUEL";"Total temps d'antenne";00:32:18;20.36%;00:00:00;-;00:34:56;22.28%;00:00:00;-;00:00:00;-
"MELENCHON JEAN LUC";Candidat;00:01:19;7.74%;00:00:00;-;00:01:11;6.84%;00:00:00;-;00:00:00;-
