Candidat;"Détail des temps";"Total journée(durée)";"Total journée (%)"
"BAYROU FRANCOIS";"Total Temps de parole";00:00:00;0.00
"BAYROU FRANCOIS";"Total Temps d'antenne";00:03:00;0.12
"CHEMINADE JACQUES";"Total Temps de parole";00:00:00;0.00
"CHEMINADE JACQUES";"Total Temps d'antenne";00:06:00;0.24
"DUPONT AIGNAN NICOLAS";"Total Temps de parole";00:22:23;1.25
"DUPONT AIGNAN NICOLAS";"Total Temps d'antenne";00:24:23;0.98
"FILLON FRANCOIS";"Total Temps de parole";11:10:06;37.38
"FILLON FRANCOIS";"Total Temps d'antenne";14:41:06;35.33
"GUAINO HENRI";"Total Temps d'antenne";00:22:31;0.90
"GUAINO HENRI";"Total Temps de parole";00:22:31;1.26
"HAMON BENOIT";"Total Temps de parole";06:31:56;21.86
"HAMON BENOIT";"Total Temps d'antenne";08:39:30;20.83
"JADOT YANNICK";"Total Temps de parole";01:46:41;5.95
"JADOT YANNICK";"Total Temps d'antenne";01:53:57;4.57
"JARDIN ALEXANDRE";"Total Temps de parole";00:00:00;0.00
"JARDIN ALEXANDRE";"Total Temps d'antenne";00:01:00;0.04
"LARROUTUROU PIERRE";"Total Temps d'antenne";00:02:42;0.11
"LARROUTUROU PIERRE";"Total Temps de parole";00:02:42;0.15
"LE PEN MARINE";"Total Temps de parole";02:44:14;9.16
"LE PEN MARINE";"Total Temps d'antenne";05:04:01;12.19
"MACRON EMMANUEL";"Total Temps de parole";04:37:46;15.49
"MACRON EMMANUEL";"Total Temps d'antenne";07:20:35;17.67
"MARCHANDISE CHARLOTTE";"Total Temps de parole";00:00:47;0.04
"MARCHANDISE CHARLOTTE";"Total Temps d'antenne";00:00:47;0.03
"MELENCHON JEAN LUC";"Total Temps d'antenne";02:00:55;4.85
"MELENCHON JEAN LUC";"Total Temps de parole";01:20:10;4.47
"POUTOU PHILIPPE";"Total Temps de parole";00:19:44;1.10
"POUTOU PHILIPPE";"Total Temps d'antenne";00:19:44;0.79
"SMATI RAFIK";"Total Temps de parole";00:16:37;0.93
"SMATI RAFIK";"Total Temps d'antenne";00:16:37;0.67
"TROADEC CHRISTIAN";"Total Temps de parole";00:16:40;0.93
"TROADEC CHRISTIAN";"Total Temps d'antenne";00:16:40;0.67
"YADE RAMA";"Total Temps de parole";00:00:21;0.02
"YADE RAMA";"Total Temps d'antenne";00:00:21;0.01
