Candidat;"Détail des temps";"Total journée(durée)";"Total journée (%)"
"BAYROU FRANCOIS";"Total Temps de parole";00:25:19;12.50
"BAYROU FRANCOIS";"Total Temps d'antenne";00:28:41;8.33
"DUPONT AIGNAN NICOLAS";"Total Temps de parole";00:00:00;0.00
"DUPONT AIGNAN NICOLAS";"Total Temps d'antenne";00:00:03;0.01
"FILLON FRANCOIS";"Total Temps d'antenne";01:51:42;32.44
"FILLON FRANCOIS";"Total Temps de parole";00:59:10;29.22
"HAMON BENOIT";"Total Temps de parole";00:47:59;23.70
"HAMON BENOIT";"Total Temps d'antenne";01:03:37;18.48
"JADOT YANNICK";"Total Temps de parole";00:05:28;2.70
"JADOT YANNICK";"Total Temps d'antenne";00:08:56;2.59
"LASSALLE JEAN";"Total Temps d'antenne";00:03:31;1.02
"LASSALLE JEAN";"Total Temps de parole";00:01:03;0.52
"LE PEN MARINE";"Total Temps de parole";00:28:02;13.84
"LE PEN MARINE";"Total Temps d'antenne";00:50:20;14.62
"MACRON EMMANUEL";"Total Temps de parole";00:26:26;13.05
"MACRON EMMANUEL";"Total Temps d'antenne";00:59:14;17.20
"MELENCHON JEAN LUC";"Total Temps d'antenne";00:17:41;5.14
"MELENCHON JEAN LUC";"Total Temps de parole";00:08:51;4.37
"POUTOU PHILIPPE";"Total Temps de parole";00:00:11;0.09
"POUTOU PHILIPPE";"Total Temps d'antenne";00:00:29;0.14
"YADE RAMA";"Total Temps de parole";00:00:00;0.00
"YADE RAMA";"Total Temps d'antenne";00:00:06;0.03
